text,sales
"Just bought a new TV! Can't wait for Black Friday!",1500
"I hope there's a good deal on smartphones this Black Friday.",1200
"Looking forward to Black Friday shopping!",1000
"Black Friday is almost here! Time to start saving up.",800
"Excited for the Black Friday sales!",1100
"Black Friday can't come soon enough!",900
"I'm holding out for Black Friday to buy a laptop.",1300
"Counting down the days until Black Friday!",950
"Can't wait to see what deals Black Friday brings this year.",1050
"Planning my Black Friday shopping strategy already!",1150
